Code;Nom;Notation
1;Sulphur dioxide (air);SO2
3;Strong acidity (air);SA
4;Total suspended particulates (aerosol);SPM
5;Particulate matter < 10 µm (aerosol);PM10
6;Black smoke (air);BS
7;Ozone (air);O3
8;Nitrogen dioxide (air);NO2
9;Nitrogen oxides (air);NOX as NO2
10;Carbon monoxide (air);CO
11;Hydrogen sulphide (air);H2S
12;Lead (aerosol);Pb
13;Mercury (aerosol);Hg
14;Cadmium (aerosol);Cd
15;Nickel (aerosol);Ni
16;Chromium (aerosol);Cr
17;Manganese (aerosol);Mn
18;Arsenic (aerosol);As
19;Carbon disulphide (air);CS2
20;Benzene (air);C6H6
21;Toluene (air);C6H5-CH3
6001;Particulate matter < 2.5 µm (aerosol);PM2.5
